Place,Location,Area,Rooms,Air Conditioning,Built-in Wardrobes,Elevator,Heating,Garage,Terrace,Price
Piso,Chamartín,120,2,1,1,1,1,1,0,689999
Piso,Fuencarral,117,4,1,1,1,1,1,1,395000
Piso,Salamanca,40,1,0,1,1,1,0,0,330000
Piso,Chamberí,46,2,0,0,1,1,0,0,275000
Piso,Villaverde,49,2,1,0,0,1,0,0,123500
Piso,Moncloa,170,3,1,1,1,1,1,1,930000
Piso,Moncloa,166,2,1,1,1,1,0,0,975000
Piso,Centro,102,3,1,1,1,1,0,1,829000
Piso,Centro,101,2,1,1,1,1,0,0,829000
Piso,Latina,67,2,0,0,1,1,0,1,230000
Piso,Carabanchel,63,2,0,0,0,0,0,1,141100
Piso,Tetuán,115,2,1,1,1,1,1,0,449000
Piso,Villa de Vallecas,71,2,1,1,1,1,1,1,219000
Ático,Moncloa,242,4,0,1,1,1,0,1,1164000
Piso,Centro,45,1,0,0,0,1,0,0,168000
Piso,Chamberí,120,4,0,0,1,1,0,0,1300000
Piso,Usera,73,2,1,0,0,1,0,0,149900
Piso,Centro,89,3,1,1,1,1,0,0,849000
Piso,Chamartín,235,4,1,1,1,1,1,1,2350000
Piso,Fuencarral,190,4,1,1,1,1,1,1,467000
Piso,Retiro,93,4,1,0,1,1,0,0,480000
Piso,Centro,185,5,1,1,1,1,0,0,899000
Piso,Moncloa,165,4,1,1,1,1,0,0,765000
Piso,Salamanca,157,3,1,1,1,1,0,1,1600000
Piso,Chamberí,25,1,1,1,1,1,0,0,217000
Piso,Tetuán,51,1,1,1,1,0,1,1,223600
Piso,Ciudad Lineal,203,4,0,0,1,1,1,1,820000
Piso,Salamanca,234,3,0,0,1,0,0,0,912068
Piso,Puente de Vallecas,73,2,0,0,0,0,0,1,139650
Piso,Puente de Vallecas,55,3,0,1,0,1,0,1,150000
Piso,Chamartín,249,4,0,1,1,1,1,1,1825000
Piso,Salamanca,114,2,1,1,1,1,1,0,1250000
Piso,Chamberí,250,3,1,1,1,0,1,0,2200000
Piso,Chamartín,239,4,0,1,1,1,1,1,820300
Piso,Tetuán,85,2,1,0,0,1,0,1,339000
Ático,Latina,67,2,1,1,0,1,0,1,169000
Piso,Chamartín,246,5,0,1,1,1,0,1,990000
Piso,Salamanca,84,2,1,1,1,1,0,0,550000
Piso,Latina,30,1,1,0,0,0,0,0,125000
Piso,Chamberí,130,3,1,1,1,0,0,0,810000
Piso,Arganzuela,164,5,1,1,1,1,0,0,850000
Piso,Carabanchel,126,3,1,0,0,1,0,1,248000
Piso,Puente de Vallecas,121,4,0,1,1,1,1,0,219000
Piso,Centro,46,2,1,0,0,1,0,0,264000
Piso,Carabanchel,72,3,0,0,0,1,0,0,152000
Piso,Centro,60,2,1,0,1,1,0,0,553000
Piso,Centro,119,3,1,1,1,1,0,1,959000
Piso,Moncloa,177,4,0,1,1,1,0,0,725000
Piso,Centro,100,2,0,0,1,1,0,0,525000
Piso,Usera,66,3,0,1,0,1,0,1,100000
Piso,Arganzuela,87,2,0,1,1,1,1,0,435800
Piso,Chamberí,174,4,1,0,1,1,0,1,1050000
Dúplex,Ciudad Lineal,259,4,1,1,1,1,1,0,1200000
Piso,Chamberí,249,6,0,1,1,1,0,0,1050000
Piso,Ciudad Lineal,60,3,1,1,1,1,0,0,149900
Piso,Puente de Vallecas,60,3,0,1,0,1,0,0,149900
Piso,Arganzuela,50,2,1,1,0,1,0,0,215980
Piso,Ciudad Lineal,70,2,0,0,0,0,0,1,185000
Piso,Centro,111,3,1,0,1,1,0,0,849000
Piso,Moncloa,50,1,0,1,1,0,0,0,380000
Piso,Ciudad Lineal,69,3,0,0,0,1,0,0,142000
Piso,Centro,100,2,1,1,1,1,0,1,650000
Piso,Retiro,76,2,0,0,1,0,0,0,256000
Piso,Arganzuela,83,3,1,1,1,1,0,0,360000
Piso,Tetuán,120,3,1,1,1,1,0,0,950000
Piso,San Blas,53,1,1,1,1,1,0,0,199000
Piso,Hortaleza,143,3,1,1,1,1,1,1,950000
Piso,Retiro,121,3,1,1,1,1,0,0,690000
Piso,Hortaleza,75,2,1,1,1,1,0,0,240000
Piso,Centro,102,3,1,1,1,1,0,0,829000
Piso,Villaverde,71,2,0,0,0,1,0,0,115000
Piso,Salamanca,108,4,1,1,1,1,1,0,475000
Piso,Moncloa,251,3,1,1,1,1,1,1,750000
Piso,Carabanchel,105,3,0,0,0,0,0,1,157000
Piso,Fuencarral,57,2,1,1,0,1,0,0,175000
Piso,Centro,102,3,0,1,1,1,0,1,399000
Piso,Carabanchel,99,3,0,1,1,1,0,1,220000
Piso,Centro,60,2,1,1,1,0,0,0,460000
Piso,Chamartín,143,5,0,1,1,1,1,1,797000
Piso,Chamberí,215,4,1,1,1,0,0,0,1700000
Piso,Chamartín,197,5,0,0,1,1,0,1,1350000
Ático,Carabanchel,102,2,1,1,1,1,1,1,495000
Piso,Centro,149,3,1,1,1,1,0,0,939000
Piso,Salamanca,78,2,1,0,1,0,0,0,715000
Piso,Arganzuela,63,2,0,1,1,1,0,0,369000
Piso,Puente de Vallecas,186,4,1,0,1,0,0,1,406000
Piso,Centro,145,2,0,0,1,0,0,0,1450000
Piso,Tetuán,93,2,1,0,0,0,0,0,469000
Piso,San Blas,85,3,1,1,0,1,1,0,225000
Piso,Salamanca,115,3,0,1,1,1,0,1,800000
Piso,Tetuán,473,5,1,1,1,1,1,1,2750000
Piso,Ciudad Lineal,102,1,1,0,1,1,1,0,310000
Piso,Salamanca,120,3,0,1,1,0,0,0,990000
Piso,Chamberí,180,4,0,0,1,1,0,0,760000
Piso,Arganzuela,74,2,0,1,1,1,1,1,299000
Piso,Centro,260,3,1,1,1,0,0,0,2800000
Piso,Fuencarral,464,7,0,1,1,0,1,0,1139771
Piso,Arganzuela,95,3,0,0,1,0,1,1,595000
Piso,Chamartín,230,4,1,0,1,1,1,0,1900000
Piso,Salamanca,191,4,1,1,1,1,0,0,1840000
Piso,Fuencarral,71,3,0,0,0,1,0,0,199000
Piso,Salamanca,380,5,1,1,1,1,0,1,3380000
Piso,Chamberí,134,3,1,1,1,1,0,0,939000
Piso,Usera,110,3,0,1,1,1,0,1,173000
Piso,Latina,130,4,0,0,1,1,0,0,368000
Piso,Carabanchel,83,3,1,1,0,1,0,1,86000
Piso,Villaverde,70,3,1,0,1,1,0,1,160000
Piso,Arganzuela,84,2,1,1,1,1,1,1,335000
Dúplex,Chamartín,363,4,1,1,1,1,1,1,2600000
Piso,Centro,70,2,0,0,1,1,0,0,460000
Piso,Carabanchel,64,1,0,1,0,1,0,1,171000
Piso,Carabanchel,60,2,0,0,1,1,0,1,135000
Piso,Chamberí,129,3,1,0,1,1,0,1,700000
Piso,Salamanca,66,2,1,1,1,1,0,0,679000
Piso,Tetuán,120,4,1,1,1,0,0,0,390000
Piso,Arganzuela,136,3,1,1,1,1,1,0,675000
Piso,Tetuán,59,2,1,0,0,0,0,0,585000
Piso,Carabanchel,94,3,0,0,1,1,0,0,292000
Piso,Latina,72,3,0,0,0,0,0,1,161000
Piso,Hortaleza,156,3,1,1,1,1,1,1,1057000
Piso,Moncloa,154,3,1,1,1,1,1,1,530000
Piso,San Blas,84,3,1,1,1,1,0,1,299000
