Place,Location,Rooms,Toilets,Area,Air Conditioning,Built-in Wardrobes,Elevator,Heating,Garage,Terrace,Price
Piso,Arganzuela,4,2,107,0,0,1,1,0,1,460000
Piso,Arganzuela,2,1,58,0,0,1,1,0,0,179000
Piso,Arganzuela,3,2,135,1,1,1,1,0,1,525000
Piso,Arganzuela,3,2,99,0,1,1,1,1,1,230000
Piso,Arganzuela,2,1,71,1,1,1,1,1,1,427000
Piso,Arganzuela,1,1,81,1,1,0,1,0,0,300000
Piso,Arganzuela,1,1,55,1,1,1,1,1,0,495000
Piso,Arganzuela,2,2,93,0,0,1,1,1,0,435800
Piso,Arganzuela,1,1,83,1,1,1,1,1,0,340000
Piso,Arganzuela,1,1,61,1,1,1,1,1,1,159300
Piso,Arganzuela,3,2,117,1,1,1,1,1,0,619000
Piso,Arganzuela,4,2,106,0,0,1,1,0,0,444000
Piso,Arganzuela,4,2,112,0,1,1,1,0,1,399000
Piso,Arganzuela,4,2,112,0,1,1,1,0,1,399000
Piso,Arganzuela,4,2,112,0,1,1,1,0,1,399000
Piso,Arganzuela,2,2,76,1,1,1,1,1,0,430000
Piso,Arganzuela,2,2,65,1,1,1,1,0,0,350000
Piso,Arganzuela,5,5,164,1,1,1,1,0,0,850000
Piso,Arganzuela,3,2,147,1,0,1,1,1,0,750000
Piso,Arganzuela,1,1,34,1,1,1,1,0,0,250000
Piso,Arganzuela,4,1,124,1,1,1,1,0,0,498000
Piso,Arganzuela,4,3,135,1,1,1,1,1,0,549000
Piso,Arganzuela,3,1,71,1,0,1,1,0,1,380000
Piso,Arganzuela,4,2,145,1,1,1,1,0,1,540000
Piso,Arganzuela,4,2,145,1,1,1,1,0,1,540000
Dúplex,Arganzuela,3,2,139,1,1,0,1,0,1,429900
Piso,Arganzuela,3,2,125,1,1,1,1,1,0,629000
Piso,Arganzuela,1,1,81,1,1,0,1,0,0,349000
Piso,Arganzuela,2,1,80,1,1,1,1,0,1,385000
Piso,Arganzuela,3,1,88,1,1,1,1,0,1,320000
Piso,Arganzuela,4,2,150,1,1,1,1,0,1,585000
Piso,Arganzuela,1,1,31,0,1,1,1,0,1,169500
Piso,Arganzuela,3,1,86,0,1,1,1,0,1,350000
Piso,Arganzuela,3,1,86,0,1,1,0,0,1,350000
Piso,Arganzuela,1,1,43,1,1,1,1,0,0,230000
Piso,Arganzuela,5,3,182,1,1,1,1,0,1,725000
Piso,Arganzuela,4,2,112,0,1,1,1,0,1,399000
Piso,Arganzuela,3,2,90,0,1,1,1,0,1,420000
Piso,Arganzuela,3,2,111,0,1,1,1,0,0,439999
Piso,Arganzuela,4,2,117,0,1,1,1,0,1,443000
Piso,Arganzuela,2,1,84,1,1,1,1,1,1,335000
Piso,Arganzuela,2,1,42,1,1,0,1,0,0,239000
Piso,Arganzuela,4,2,112,0,1,1,1,0,1,385000
Piso,Arganzuela,2,2,87,0,0,1,1,1,1,435800
Piso,Arganzuela,2,2,91,0,1,1,1,0,0,350000
Piso,Arganzuela,3,3,384,1,1,1,1,0,0,1470000
Piso,Arganzuela,2,1,80,0,1,1,1,0,0,279000
