Place,Location,Rooms,Toilets,Area,Air Conditioning,Built-in Wardrobes,Elevator,Heating,Garage,Terrace,Price
Piso,Chamartín,2,2,120,1,1,1,1,1,0,689999
Piso,Fuencarral,4,2,117,1,1,1,1,1,1,395000
Piso,Salamanca,1,1,40,0,1,1,1,0,0,330000
Piso,Chamberí,2,1,46,0,0,1,1,0,0,275000
Piso,Villaverde,2,1,49,1,0,0,1,0,0,123500
Piso,Moncloa,3,2,170,1,1,1,1,1,1,930000
Piso,Moncloa,2,2,166,1,1,1,1,0,0,975000
Piso,Centro,3,3,102,1,1,1,1,0,1,829000
Piso,Centro,2,2,101,1,1,1,1,0,0,829000
Piso,Latina,2,1,67,0,0,1,1,0,1,230000
Piso,Carabanchel,2,1,63,0,0,0,0,0,1,141100
Piso,Tetuán,2,2,115,1,1,1,1,1,0,449000
Piso,Villa de Vallecas,2,1,71,1,1,1,1,1,1,219000
Ático,Moncloa,4,3,242,0,1,1,1,0,1,1164000
Piso,Centro,1,1,45,0,0,0,1,0,0,168000
Piso,Chamberí,4,2,120,0,0,1,1,0,0,1300000
Piso,Usera,2,1,73,1,0,0,1,0,0,149900
Piso,Centro,3,3,89,1,1,1,1,0,0,849000
Piso,Chamartín,4,3,235,1,1,1,1,1,1,2350000
Piso,Fuencarral,4,2,190,1,1,1,1,1,1,467000
Piso,Retiro,4,1,93,1,0,1,1,0,0,480000
Piso,Centro,5,3,185,1,1,1,1,0,0,899000
Piso,Moncloa,4,2,165,1,1,1,1,0,0,765000
Piso,Salamanca,3,4,157,1,1,1,1,0,1,1600000
Piso,Chamberí,1,1,25,1,1,1,1,0,0,217000
Piso,Tetuán,1,1,51,1,1,1,0,1,1,223600
Piso,Ciudad Lineal,4,3,203,0,0,1,1,1,1,820000
Piso,Salamanca,3,2,234,0,0,1,0,0,0,912068
Piso,Puente de Vallecas,2,1,73,0,0,0,0,0,1,139650
Piso,Puente de Vallecas,3,1,55,0,1,0,1,0,1,150000
Piso,Chamartín,4,3,249,0,1,1,1,1,1,1825000
Piso,Salamanca,2,2,114,1,1,1,1,1,0,1250000
Piso,Chamberí,3,4,250,1,1,1,0,1,0,2200000
Piso,Chamartín,4,4,239,0,1,1,1,1,1,820300
Piso,Tetuán,2,2,85,1,0,0,1,0,1,339000
Ático,Latina,2,1,67,1,1,0,1,0,1,169000
Piso,Chamartín,5,4,246,0,1,1,1,0,1,990000
Piso,Salamanca,2,2,84,1,1,1,1,0,0,550000
Piso,Latina,1,1,30,1,0,0,0,0,0,125000
Piso,Chamberí,3,2,130,1,1,1,0,0,0,810000
Piso,Arganzuela,5,5,164,1,1,1,1,0,0,850000
Piso,Carabanchel,3,2,126,1,0,0,1,0,1,248000
Piso,Puente de Vallecas,4,2,121,0,1,1,1,1,0,219000
Piso,Centro,2,1,46,1,0,0,1,0,0,264000
Piso,Carabanchel,3,1,72,0,0,0,1,0,0,152000
Piso,Centro,2,1,60,1,0,1,1,0,0,553000
Piso,Centro,3,3,119,1,1,1,1,0,1,959000
Piso,Moncloa,4,2,177,0,1,1,1,0,0,725000
Piso,Centro,2,2,100,0,0,1,1,0,0,525000
Piso,Usera,3,1,66,0,1,0,1,0,1,100000
Piso,Arganzuela,2,2,87,0,1,1,1,1,0,435800
Piso,Chamberí,4,2,174,1,0,1,1,0,1,1050000
Dúplex,Ciudad Lineal,4,3,259,1,1,1,1,1,0,1200000
Piso,Chamberí,6,3,249,0,1,1,1,0,0,1050000
Piso,Ciudad Lineal,3,1,60,1,1,1,1,0,0,149900
Piso,Puente de Vallecas,3,1,60,0,1,0,1,0,0,149900
Piso,Arganzuela,2,1,50,1,1,0,1,0,0,215980
Piso,Ciudad Lineal,2,1,70,0,0,0,0,0,1,185000
Piso,Centro,3,3,111,1,0,1,1,0,0,849000
Piso,Moncloa,1,1,50,0,1,1,0,0,0,380000
Piso,Ciudad Lineal,3,1,69,0,0,0,1,0,0,142000
Piso,Centro,2,2,100,1,1,1,1,0,1,650000
Piso,Retiro,2,2,76,0,0,1,0,0,0,256000
Piso,Arganzuela,3,2,83,1,1,1,1,0,0,360000
Piso,Tetuán,3,3,120,1,1,1,1,0,0,950000
Piso,San Blas,1,1,53,1,1,1,1,0,0,199000
Piso,Hortaleza,3,2,143,1,1,1,1,1,1,950000
Piso,Retiro,3,2,121,1,1,1,1,0,0,690000
Piso,Hortaleza,2,1,75,1,1,1,1,0,0,240000
Piso,Centro,3,3,102,1,1,1,1,0,0,829000
Piso,Villaverde,2,1,71,0,0,0,1,0,0,115000
Piso,Salamanca,4,2,108,1,1,1,1,1,0,475000
Piso,Moncloa,3,3,251,1,1,1,1,1,1,750000
Piso,Carabanchel,3,1,105,0,0,0,0,0,1,157000
Piso,Fuencarral,2,1,57,1,1,0,1,0,0,175000
Piso,Centro,3,2,102,0,1,1,1,0,1,399000
Piso,Carabanchel,3,2,99,0,1,1,1,0,1,220000
Piso,Centro,2,2,60,1,1,1,0,0,0,460000
Piso,Chamartín,5,3,143,0,1,1,1,1,1,797000
Piso,Chamberí,4,2,215,1,1,1,0,0,0,1700000
Piso,Chamartín,5,3,197,0,0,1,1,0,1,1350000
Ático,Carabanchel,2,2,102,1,1,1,1,1,1,495000
Piso,Centro,3,3,149,1,1,1,1,0,0,939000
Piso,Salamanca,2,2,78,1,0,1,0,0,0,715000
Piso,Arganzuela,2,2,63,0,1,1,1,0,0,369000
Piso,Puente de Vallecas,4,3,186,1,0,1,0,0,1,406000
Piso,Centro,2,2,145,0,0,1,0,0,0,1450000
Piso,Tetuán,2,2,93,1,0,0,0,0,0,469000
Piso,San Blas,3,1,85,1,1,0,1,1,0,225000
Piso,Salamanca,3,2,115,0,1,1,1,0,1,800000
Piso,Tetuán,5,5,473,1,1,1,1,1,1,2750000
Piso,Ciudad Lineal,1,2,102,1,0,1,1,1,0,310000
Piso,Salamanca,3,2,120,0,1,1,0,0,0,990000
Piso,Chamberí,4,2,180,0,0,1,1,0,0,760000
Piso,Arganzuela,2,2,74,0,1,1,1,1,1,299000
Piso,Centro,3,3,260,1,1,1,0,0,0,2800000
Piso,Fuencarral,7,5,464,0,1,1,0,1,0,1139771
Ático,Chamartín,3,4,580,1,1,1,1,1,1,5800000
Piso,Arganzuela,3,2,95,0,0,1,0,1,1,595000
Piso,Chamartín,4,4,230,1,0,1,1,1,0,1900000
Piso,Salamanca,4,3,191,1,1,1,1,0,0,1840000
Piso,Fuencarral,3,1,71,0,0,0,1,0,0,199000
Piso,Salamanca,5,4,380,1,1,1,1,0,1,3380000
Piso,Chamberí,3,3,134,1,1,1,1,0,0,939000
Piso,Usera,3,2,110,0,1,1,1,0,1,173000
Piso,Latina,4,2,130,0,0,1,1,0,0,368000
Piso,Carabanchel,3,1,83,1,1,0,1,0,1,86000
Piso,Villaverde,3,1,70,1,0,1,1,0,1,160000
Piso,Arganzuela,2,1,84,1,1,1,1,1,1,335000
Dúplex,Chamartín,4,5,363,1,1,1,1,1,1,2600000
Piso,Centro,2,1,70,0,0,1,1,0,0,460000
Piso,Carabanchel,1,1,64,0,1,0,1,0,1,171000
Piso,Carabanchel,2,1,60,0,0,1,1,0,1,135000
Piso,Chamberí,3,2,129,1,0,1,1,0,1,700000
Piso,Salamanca,2,2,66,1,1,1,1,0,0,679000
Piso,Tetuán,4,2,120,1,1,1,0,0,0,390000
Piso,Arganzuela,3,2,136,1,1,1,1,1,0,675000
Piso,Tetuán,2,2,59,1,0,0,0,0,0,585000
Piso,Carabanchel,3,1,94,0,0,1,1,0,0,292000
Piso,Latina,3,1,72,0,0,0,0,0,1,161000
Piso,Hortaleza,3,3,156,1,1,1,1,1,1,1057000
Piso,Moncloa,3,2,154,1,1,1,1,1,1,530000
Piso,San Blas,3,1,84,1,1,1,1,0,1,299000
Piso,Centro,1,1,75,1,1,0,0,0,0,670000
Ático,Chamartín,5,3,327,1,1,1,1,1,1,1950000
Piso,Fuencarral,3,2,112,1,1,1,1,0,0,399000
Piso,Centro,3,3,110,1,1,1,1,0,0,839000
Piso,Centro,2,3,130,1,0,1,0,0,0,735000
Piso,Retiro,2,2,51,0,1,1,1,0,0,235000
Piso,Salamanca,5,5,402,1,0,1,0,0,1,3700000
Piso,Salamanca,6,3,285,1,1,1,1,0,1,920000
Piso,Carabanchel,3,2,75,0,0,0,1,0,1,198000
Piso,Chamberí,3,3,144,1,1,1,1,0,0,880000
Piso,Carabanchel,3,2,100,1,1,1,1,1,1,295000
Piso,Arganzuela,3,1,95,0,1,1,0,0,1,365000
Piso,Retiro,4,2,115,0,1,1,1,1,0,495000
Piso,Ciudad Lineal,3,1,57,0,0,0,0,0,1,98000
Piso,Villaverde,3,1,59,0,0,0,0,0,1,106990
Piso,Moratalaz,2,1,51,1,0,1,0,0,0,149999
Piso,Retiro,3,2,105,0,1,1,1,0,0,460000
Piso,Salamanca,6,2,158,0,0,1,1,0,0,798000
Piso,Usera,2,1,62,1,0,1,0,0,0,125000
Piso,Chamberí,2,1,50,0,1,1,1,0,0,270000
Piso,Carabanchel,3,2,112,0,0,0,1,0,0,195000
Piso,Centro,2,2,83,0,1,1,1,0,0,429000
Piso,Salamanca,3,3,104,1,1,1,1,0,0,1250000
Piso,Salamanca,2,2,90,1,1,1,1,0,0,1375000
Piso,Chamartín,5,5,263,1,1,1,1,1,1,2295000
Piso,Retiro,3,4,194,1,1,1,0,0,1,1600000
Piso,Carabanchel,3,1,105,0,1,1,1,0,1,340000
Dúplex,Centro,1,1,35,0,0,1,1,0,0,179000
Piso,Centro,4,4,180,0,0,1,0,0,0,2100000
Ático,Fuencarral,5,5,276,1,1,1,1,1,1,1180000
Piso,Hortaleza,3,1,76,0,1,1,1,0,1,225000
Piso,Moncloa,4,4,269,1,0,0,0,1,1,1180000
Piso,Chamberí,5,3,457,0,0,1,0,1,1,4200000
Piso,Usera,3,1,82,0,0,0,1,0,1,135000
Piso,Carabanchel,3,1,75,1,1,1,1,0,1,210000
Piso,Hortaleza,4,2,138,1,1,1,1,1,0,499000
Piso,Latina,4,1,97,0,1,1,1,0,0,220000
Piso,Moncloa,4,3,200,1,1,1,1,1,1,1995000
Piso,Villaverde,1,1,57,0,0,1,0,0,1,207670
Piso,Tetuán,3,2,284,1,0,0,0,0,0,1700000
Piso,Fuencarral,4,4,192,1,1,1,1,1,1,832000
Dúplex,Latina,1,2,75,1,1,1,1,1,1,175000
Piso,Ciudad Lineal,3,1,75,1,1,0,1,0,1,180000
Piso,Centro,3,3,125,1,0,1,1,0,0,899000
Piso,Chamartín,5,3,366,0,0,1,0,1,1,1690000
Piso,Salamanca,4,2,125,1,1,1,1,0,1,1050000
Piso,Puente de Vallecas,1,1,45,0,0,0,0,0,1,136500
Piso,Chamartín,4,3,274,1,1,1,1,1,1,998000
Piso,Ciudad Lineal,3,2,88,0,1,1,1,0,0,226000
Piso,Usera,2,1,55,1,1,1,1,1,1,249000
Piso,Vicálvaro,3,1,69,1,1,0,1,0,1,152925
